Map,Algorithm,Ablation Mode,Mission Time,Partition Time,Path Planning Time,Algorithm Time
Large,SCoPP,No Ablation,3255.999999998134,21.83743715286255,7.433366537094116,234.08817839622498
Large,SCoPP,No Ablation,3332.5999999980645,21.689228057861328,7.427501201629639,235.12710738182068
Large,SCoPP,No Ablation,3395.4999999980073,21.731346130371094,7.462904453277588,233.67671871185303
Large,SCoPP,No Ablation,4057.499999997405,21.655418157577515,7.561439037322998,232.94277477264404
Large,SCoPP,No Ablation,3690.1999999977393,21.749436140060425,7.575297117233276,234.32400345802307
Large,SCoPP,No Ablation,3268.399999998123,21.639297246932983,7.509202003479004,232.88526344299316
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07299304008483887,0.9376742839813232,1.2977559566497803
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07399678230285645,0.9229745864868164,1.2906208038330078
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07190251350402832,0.9250161647796631,1.2884941101074219
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07259392738342285,0.9310901165008545,1.2942495346069336
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.0709981918334961,0.9109959602355957,1.273700475692749
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07200765609741211,0.9183132648468018,1.2856168746948242
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07248425483703613,0.9231538772583008,1.2857511043548584
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07200098037719727,0.914069414138794,1.277721881866455
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.0725104808807373,0.9243121147155762,1.2883424758911133
Baseline,SCoPP,Partition Ablation,468.60000000003805,0.07199788093566895,0.9180183410644531,1.2800512313842773
Baseline,SCoPP,No Ablation,502.90000000004585,0.07800054550170898,0.9697527885437012,1.3402674198150635
Baseline,SCoPP,No Ablation,404.90000000002357,0.08199214935302734,0.9231328964233398,1.2938637733459473
Baseline,SCoPP,No Ablation,418.3000000000266,0.07999897003173828,0.9214920997619629,1.2905676364898682
Baseline,SCoPP,No Ablation,457.10000000003544,0.08300542831420898,0.9393508434295654,1.3116364479064941
Baseline,SCoPP,No Ablation,492.40000000004346,0.08499670028686523,0.9822509288787842,1.36039400100708
Baseline,SCoPP,No Ablation,407.8000000000242,0.08000016212463379,0.9504580497741699,1.3234546184539795
Baseline,SCoPP,No Ablation,487.3000000000423,0.08899974822998047,0.9535434246063232,1.3357725143432617
Baseline,SCoPP,No Ablation,447.10000000003316,0.08299827575683594,0.9411685466766357,1.3182013034820557
Baseline,SCoPP,No Ablation,470.00000000003837,0.07600116729736328,0.9549753665924072,1.3220272064208984
Baseline,SCoPP,No Ablation,446.9000000000331,0.08215069770812988,0.9364848136901855,1.308758020401001
